Date,Customer_ID,Product_Name,Category,Price,Sales_Volume,Revenue,Season,Location,Payment_Method,Age,Purchasing_Frequency,Product_Reviews,Restock_Status,Stock_Level
1/24/23,CUST5012,Denim,Denim,75,1,75,Summer,Canada,Credit Card,25,5,42,No,150
8/13/24,CUST4257,Hoodie,Hoodie,130,3,390,Winter,China,Apple Pay,40,2,134,Yes,250
9/20/23,CUST3547,Hoodie,Hoodie,115,2,230,Summer,Mexico,Debit Card,24,1,43,Yes,250
3/27/24,CUST9785,Sweatpants,Sweatpants,100,1,100,Fall,Italy,Credit Card,21,5,95,No,450
10/5/23,CUST1750,Footwear,Footwear,120,3,360,Winter,Germany,Debit Card,39,1,79,Yes,200
6/16/24,CUST4432,Sweatpants,Sweatpants,50,2,100,Summer,Australia,Credit Card,39,5,182,Yes,450
10/20/23,CUST6313,Outerwear,Outerwear,140,3,420,Spring,Mexico,Credit Card,44,2,28,No,180
6/27/24,CUST9179,Footwear,Footwear,200,2,400,Spring,China,Apple Pay,30,2,87,Yes,200
4/22/23,CUST6930,Denim,Denim,150,2,300,Fall,Canada,Apple Pay,25,1,32,No,150
9/20/24,CUST7304,Denim,Denim,125,3,375,Winter,Japan,Apple Pay,30,5,84,No,150
6/11/24,CUST6573,Denim,Denim,75,3,225,Summer,Australia,Apple Pay,21,2,136,Yes,150
1/29/24,CUST5889,Footwear,Footwear,115,3,345,Winter,China,PayPal,44,2,115,Yes,200
10/2/24,CUST9005,Footwear,Footwear,90,3,270,Summer,UK,Debit Card,18,3,81,No,200
11/5/23,CUST3103,T-shirt,T-shirt,65,1,65,Spring,Spain,PayPal,39,3,155,Yes,350
6/30/23,CUST7537,Footwear,Footwear,200,1,200,Summer,China,Debit Card,39,4,152,Yes,200
9/19/24,CUST4608,T-shirt,T-shirt,75,3,225,Spring,UK,Credit Card,18,2,37,Yes,350
5/19/23,CUST4510,Hoodie,Hoodie,90,3,270,Fall,Canada,Apple Pay,35,2,141,Yes,250
9/5/23,CUST8651,Outerwear,Outerwear,155,2,310,Fall,India,Credit Card,45,1,35,Yes,180
2/25/23,CUST3296,Hoodie,Hoodie,80,1,80,Fall,Canada,Debit Card,31,4,83,No,250
6/6/23,CUST2528,Footwear,Footwear,105,1,105,Winter,Brazil,PayPal,42,2,124,Yes,200
6/17/24,CUST7396,T-shirt,T-shirt,40,2,80,Winter,Mexico,Apple Pay,26,3,128,Yes,350
12/15/23,CUST5861,Denim,Denim,135,1,135,Spring,USA,Credit Card,24,3,34,Yes,150
10/11/24,CUST4044,Footwear,Footwear,115,1,115,Winter,Japan,Credit Card,20,2,123,Yes,200
8/18/23,CUST7868,Footwear,Footwear,95,3,285,Winter,Japan,Debit Card,39,3,72,Yes,200
12/28/24,CUST6180,Hoodie,Hoodie,150,2,300,Fall,UK,Credit Card,42,4,179,Yes,250
2/1/24,CUST6718,Hoodie,Hoodie,130,2,260,Spring,Germany,Debit Card,20,3,60,Yes,250
7/25/23,CUST2697,Denim,Denim,140,1,140,Summer,Australia,Credit Card,22,1,161,No,150
7/21/23,CUST9280,Sweatpants,Sweatpants,55,3,165,Summer,Australia,Credit Card,33,1,182,Yes,450
11/20/24,CUST8239,Hoodie,Hoodie,150,2,300,Spring,India,Apple Pay,35,5,22,Yes,250
